epoch,train_loss,test_loss,comm_cost,mse,mae,r2,mse-AT,mae-AT,r2-AT,mse-slew,mae-slew,r2-slew,mse-netdelay,mae-netdelay,r2-netdelay,mse-celldelay,mae-celldelay,r2-celldelay
62,1.936889286906946,3.662179342338017,9762344,0.9155448690455938,0.35727994197181295,-0.12311705840485437,2.9278882443904877,0.5740739021982465,0.42092935528073994,0.1197177352649825,0.15986561136586325,0.7372757111276899,0.5700288542679378,0.5528833993843624,0.7006631940603256,0.04454464225896767,0.14229685493877955,-2.351336494088173
63,1.9181948527693748,3.6024359464645386,9762344,0.9006089452388032,0.3537295394177948,-0.09189347337399212,2.887859506266458,0.5700774022511074,0.4257033509867532,0.11888262310198375,0.15939118606703623,0.7392152377537319,0.5517311649663108,0.5439919233322144,0.7073092226471219,0.04396248662046024,0.14145764602082117,-2.2398017048835754
64,1.8987860917335466,3.5582986559186662,9762344,0.8895747089492423,0.35046179220080376,-0.058198034231151885,2.8547041373593465,0.5671563701970237,0.43022213663373676,0.11867249757051468,0.15886118369443075,0.74020859173366,0.5420924105814525,0.5358546376228333,0.7125002209629331,0.04282979028565543,0.13997497728892735,-2.1157230862549374
65,1.879494924275648,3.5506297860826765,9762344,0.8876574087355817,0.34918828707720556,-0.04790957378489624,2.8402288130351474,0.56593086038317,0.434956465448652,0.11977157209600721,0.1592403437410082,0.739212189401899,0.548097876565797,0.5320247496877398,0.7122584411076137,0.042531373245375495,0.1395571944969041,-2.07806539109775
66,1.8633055019946325,3.475949798311506,9762344,0.8689874223034296,0.3453213330358267,-0.006829928606748581,2.7960169528211867,0.5616848043033055,0.44031220248767305,0.11846444755792618,0.15873396503073828,0.7418913841247559,0.5198391463075366,0.5226508804730007,0.7217626699379512,0.04162914252706936,0.1382156823362623,-1.9312859709773744
67,1.844181305241017,3.4436599697385515,9762344,0.8609149652932371,0.3429392533642905,0.01486704445310999,2.7724811817918504,0.5600827847208295,0.4462930219514029,0.118393531867436,0.15802909859589168,0.7426801323890686,0.5121724052088601,0.5165194954190936,0.7258880649294172,0.04061274230480194,0.13712563472134726,-1.8553930414574487
68,1.8254996229495322,3.413961819240025,9762344,0.8534904329239257,0.3408670582409416,0.02832789612667902,2.752972734825952,0.5579384565353394,0.4531068972178868,0.11859363636800221,0.15803982956068857,0.7430749961308071,0.5023156872817448,0.5109787157603672,0.7298839667013713,0.04007967322000435,0.1365112311073712,-1.8127542755433492
69,1.8070938594284511,3.386673058782305,9762344,0.8466682681547744,0.3387467241180795,0.04156437516212458,2.733426123857498,0.555973253079823,0.4592445577893938,0.11877894507987159,0.15793633780309133,0.7434903383255005,0.49509619176387787,0.5055879439626422,0.7339001234088626,0.03937181191784995,0.1354893616267613,-1.7703775188752584
70,1.7891395067175229,3.3737161670412337,9762344,0.8434290428912001,0.3375438502324479,0.044131656842572364,2.7235239914485385,0.5547348856925964,0.4652004539966583,0.1194843617933137,0.1580358541437558,0.7431110399109977,0.4916569356407438,0.5021621882915497,0.7362818121910095,0.039050882682204247,0.1352424728018897,-1.768066678728376
71,1.7713421781857808,3.360921025276184,9762344,0.8402302404865624,0.3362473012613399,0.05314676303948679,2.705842056444713,0.5529561425958361,0.47154042976243155,0.12033664115837642,0.15843680394547327,0.7425884093557086,0.4963266147034509,0.49917982305799213,0.7372414938041142,0.03841564963970866,0.134416435446058,-1.7387832807643073
